Level,Date and Time,Source,Event ID,Task Category,Activity,Stage,DefenderResponse,Signature
7/17/2021 10:05:29 PM,Microsoft-Windows-DistributedCOM,10016,,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID ,Normal,Benign,Benign,None
{C2F03A33-21F5-47FA-B4BB-156362A2F239},Normal,Benign,Benign,None
 and APPID ,Normal,Benign,Benign,None
{316CDED5-E4AE-4B15-9113-7055D84DCC97},Normal,Benign,Benign,None
 to the user DESKTOP-56DUI1B\ansible SID (S-1-5-21-3046995883-4109464133-1538160033-1003) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",Normal,Benign,Benign,
7/17/2021 10:04:15 PM,ESENT,455,Logging/Recovery,"svchost (6596,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:01:30 PM,Microsoft-Windows-DistributedCOM,10016,,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID ,Normal,Benign,Benign,None
{C2F03A33-21F5-47FA-B4BB-156362A2F239},Normal,Benign,Benign,None
 and APPID ,Normal,Benign,Benign,None
{316CDED5-E4AE-4B15-9113-7055D84DCC97},Normal,Benign,Benign,None
 to the user DESKTOP-56DUI1B\ansible SID (S-1-5-21-3046995883-4109464133-1538160033-1003) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",Normal,Benign,Benign,
7/17/2021 9:50:15 PM,ESENT,455,Logging/Recovery,"svchost (7688,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:34:15 PM,ESENT,455,Logging/Recovery,"svchost (5484,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:20:15 PM,ESENT,455,Logging/Recovery,"svchost (1364,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:10:15 PM,ESENT,455,Logging/Recovery,"svchost (3976,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:04:15 PM,ESENT,455,Logging/Recovery,"svchost (8672,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:50:15 PM,ESENT,455,Logging/Recovery,"svchost (3060,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:34:15 PM,ESENT,455,Logging/Recovery,"svchost (2068,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:20:15 PM,ESENT,455,Logging/Recovery,"svchost (4468,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:04:15 PM,ESENT,455,Logging/Recovery,"svchost (6344,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
